system:time_start,Lake_1-46-3,Abraham Lake,Greenpepper Lake,Sands of Time,Boot Lake,Canvasback Lake,YF04,Scoter Lake,YF03,YF18,YF17,YF09,Lake_1-46-2,Ninemile Lake,West Crazy Lake,YF20,YF08,YF14,Thumb Lake,Buddy Lake,Twelvemile Lake,Twin Lake,Shack Lake,YF02
"Jun 1, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jun 1, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jun 3, 2016",,,,,,,-0.034,,-0.282,-0.162,,-0.229,,,,-0.156,-0.081,,,0.196,-0.183,,,-0.419
"Jun 3, 2016",,,0.16,,0.207,-0.249,0.027,0.081,,,-0.091,,,-0.219,,-0.151,,,-0.123,0.333,-0.082,,,-0.48
"Jun 8, 2016",,,,,,,,,,,,,,,,,,,,,,,0.233,
"Jun 8, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jun 10, 2016",,,,,,-0.244,-0.037,-0.043,-0.341,-0.256,-0.408,-0.165,,,,-0.43,-0.064,,-0.118,0.167,-0.107,,,-0.305
"Jun 10, 2016",-0.28,0.028,0.095,0.111,0.125,-0.259,,-0.043,,,-0.505,,0.133,-0.317,0.422,,,-0.152,0.04,,,0.118,0.098,
"Jun 17, 2016",0.132,0.266,0.218,,0.092,-0.156,0.049,0.088,-0.264,-0.139,-0.237,-0.125,0.278,-0.082,,-0.453,-0.01,0.12,-0.11,0.198,-0.066,0.384,0.397,-0.301
"Jun 17, 2016",0.147,0.31,0.259,0.455,0.132,,,0.126,,,,,0.326,-0.067,0.353,,,0.137,-0.091,,,0.417,0.421,
"Jun 19, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jun 24, 2016",,,,0.267,,,,,,,,,,,,,,-0.345,,,,0.06,0.133,
"Jun 24, 2016",,,,0.305,,,,,,,,,,,,,,,,,,,,
"Jun 26, 2016",,,,,,-0.08,0.015,-0.141,-0.337,-0.119,-0.008,-0.241,,,,-0.452,-0.098,,-0.339,0.41,-0.128,,,-0.341
"Jun 26, 2016",,,,-0.077,,-0.088,,-0.137,,,-0.014,,,,,,,,-0.317,,,0.229,0.052,
"Jul 3, 2016",,,,,,0.327,,,0.222,,,,,,,0.345,0.4,,,0.452,,,,0.242
"Jul 3, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jul 5, 2016",,,,,,,,,-0.251,,,-0.129,,,,-0.205,0.013,,,,,,,-0.505
"Jul 5, 2016",,,,,,,,,,,,,,,0.65,-0.202,,,,,,,,-0.475
"Jul 10, 2016",,,,,,,,,,,,,,,,,,-0.096,,,,,,
"Jul 10, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jul 12, 2016",,,,,,-0.082,0.066,-0.089,-0.351,-0.119,0.548,-0.272,,,,-0.584,-0.093,,-0.331,0.577,-0.202,,,-0.359
"Jul 12, 2016",-0.247,-0.006,-0.058,0.11,0.038,-0.06,,-0.067,,,0.545,,-0.082,-0.358,0.19,,,-0.235,-0.32,,,-0.087,0.103,
"Jul 19, 2016",,,,,-0.155,-0.015,,,,-0.009,0.657,-0.74,,,,,,-0.225,,,,,,
"Jul 19, 2016",,,,,0.529,,,,,,,,,,,,,-0.277,,,,,,
"Jul 21, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jul 21, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jul 26, 2016",,,,0.194,,,,,,,,,,,,,,,,,,,0.111,
"Jul 26, 2016",,,,0.182,,,,,,,,,,,,,,,,,,,,
"Jul 28, 2016",,,,,,,,,,-0.078,,-0.113,,,,,,,,,,,,0.187
"Jul 28, 2016",,,,0.558,,,,,,,,,,,,,,,,,,,-0.069,
"Aug 4, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Aug 6, 2016",,,,,,,,,-0.342,-0.195,,-0.014,,,,-0.456,-0.359,,,0.715,-0.507,,,-0.608
"Aug 6, 2016",,,,,,,,,,,,,,,,-0.348,,,,0.692,-0.493,,,-0.567
"Aug 11, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Aug 11, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Aug 13, 2016",,,,,,0.409,,,0.337,,,,,,,,-0.33,,0.022,0.563,-0.034,,,
"Aug 13, 2016",-0.344,-0.031,-0.15,,,0.394,,,,,,,-0.25,-0.341,0.259,,,-0.25,0.003,,,0.183,,
"Aug 20, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Aug 22, 2016",,,,,,,,,,,,,,,,0.526,,,,,,,,0.336
"Aug 27, 2016",,,,-0.077,,,,,,,,,,,,,,-0.07,,,,-0.07,,
"Aug 27, 2016",,,,-0.069,,,,,,,,,,,,,,,,,,,,
"Aug 29, 2016",,,,,,0.178,,-0.031,,0.165,0.529,,,,,,,,-0.113,,0.11,,,
"Aug 29, 2016",-0.412,-0.069,0,0.314,0.313,0.163,,-0.03,,,0.528,,-0.534,-0.263,-0.062,,,-0.134,,,,0.309,0.027,
"Sep 5, 2016",,,,,,-0.307,-0.044,,-0.398,-0.29,,-0.238,,,,-0.442,-0.253,-0.228,,0.556,-0.366,,-0.175,-0.498
"Sep 5, 2016",,,,,,,,,,,,,,,,,,-0.218,,,,-0.155,-0.156,
"Sep 7, 2016",,,,,,,0.188,,-0.319,-0.351,,-0.261,,,,-0.572,-0.26,,,0.533,0.042,,,-0.31
"Sep 7, 2016",,-0.152,-0.306,,-0.152,-0.047,0.14,-0.353,,,0.663,,,-0.397,-0.168,-0.591,,,-0.235,0.491,0.038,,,-0.285
"Sep 14, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Sep 21, 2016",,0,,,,,-0.027,,,,,,0,,,,0.269,,0.191,0.383,-0.106,0.063,,
"Sep 21, 2016",,0.041,,-0.125,,,,,,,,,0,,0.148,,,,0.18,,,0.036,,
"Sep 23, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Sep 23, 2016",,,,,,,,,,,,,,,,,,,,,,,,
