system:time_start,Lake_1-46-3,Abraham Lake,Greenpepper Lake,Sands of Time,Boot Lake,Canvasback Lake,YF04,Scoter Lake,YF03,YF18,YF17,YF09,Lake_1-46-2,Ninemile Lake,West Crazy Lake,YF20,YF08,YF14,Thumb Lake,Twelvemile Lake,Twin Lake,Shack Lake,YF02,Buddy Lake
"Jun 15, 2016",,,,,,,,,0.923,0.923,,0.921,,,,0.923,0.921,,,0.921,,,,0.922
"Jun 17, 2016",0.868,0.849,0.859,,0.852,0.854,0.868,0.854,0.859,0.852,0.908,0.851,0.851,0.872,,0.874,0.847,0.861,0.855,0.849,0.852,0.851,0.864,0.869
"Jun 17, 2016",0.868,0.849,0.859,0.855,0.852,,,0.854,,,,,0.851,0.872,0.848,,,0.861,0.855,,0.852,0.851,,
"Jun 19, 2016",,,,,,,0.947,,0.944,0.944,,0.945,,,,0.945,0.951,,,0.948,,,0.948,0.951
"Jun 22, 2016",0.89,0.916,0.92,,0.923,0.923,0.917,0.92,0.898,0.891,0.905,0.917,0.913,0.919,0.934,0.857,0.904,0.906,0.925,0.936,,,0.922,0.931
"Jun 24, 2016",0.868,,,0.846,,,,,,,,,0.853,,,,,0.863,,,0.847,0.842,,
"Jun 24, 2016",,,,0.846,,,,,,,,,,,,,,,,,,,,
"Jun 26, 2016",,,,,,0.848,0.863,0.848,0.859,0.845,0.875,0.848,,,,0.897,0.844,,0.86,0.847,,,0.863,0.866
"Jun 26, 2016",0.892,0.891,0.959,0.827,0.941,0.848,,0.848,,,0.875,,0.916,0.895,0.965,,,0.961,0.86,,0.842,0.831,,
"Jun 27, 2016",,,,0.944,,,,,,,,,,,,,,,,,0.932,0.934,,
"Jun 29, 2016",0.93,0.928,0.929,0.927,0.932,0.927,,0.93,,,0.931,,0.93,0.929,0.929,,,0.928,0.93,0.929,0.926,,,0.929
"Jun 29, 2016",0.93,0.928,0.929,0.927,,0.928,0.928,0.93,0.929,0.928,0.931,0.928,0.929,0.929,,0.93,0.928,0.928,0.93,0.929,0.926,0.926,0.93,0.929
"Jul 1, 2016",,,,,,,,,0.936,0.937,,0.933,,,,0.94,0.94,,,0.924,,,,0.915
"Jul 3, 2016",0.892,0.914,0.962,,0.919,0.854,0.943,0.896,0.852,0.951,0.846,0.904,0.904,0.881,,0.894,0.862,0.902,0.952,0.94,0.919,0.923,0.912,0.864
