system:time_start,Lake_1-46-3,Abraham Lake,Greenpepper Lake,Sands of Time,Boot Lake,Canvasback Lake,YF04,Scoter Lake,YF03,YF18,YF17,YF09,Lake_1-46-2,Ninemile Lake,West Crazy Lake,YF20,YF08,YF14,Thumb Lake,Twelvemile Lake,Twin Lake,Shack Lake,YF02,Buddy Lake
"Jun 15, 2016",,,,,,,,,-0.019,-0.019,,-0.017,,,,-0.021,-0.018,,,-0.017,,,,-0.013
"Jun 17, 2016",-0.024,-0.022,-0.021,,-0.035,-0.043,-0.035,-0.035,-0.051,-0.044,-0.067,-0.044,-0.022,-0.043,,-0.065,-0.039,-0.024,-0.043,-0.039,-0.002,0.003,-0.051,0.03
"Jun 17, 2016",-0.024,-0.022,-0.021,0.02,-0.035,,,-0.036,,,,,-0.022,-0.043,-0.021,,,-0.024,-0.043,,-0.002,0.003,,
"Jun 19, 2016",,,,,,,0.024,,0.026,0.036,,0.031,,,,0.026,0.029,,,0.02,,,0.021,0.023
"Jun 22, 2016",-0.012,-0.018,-0.018,,-0.01,0.042,0.005,-0.017,-0.019,-0.015,-0.013,0.056,-0.003,-0.019,0.016,-0.032,-0.014,0.006,-0.016,0.039,,,-0.015,0.002
"Jun 24, 2016",-0.05,,,-0.03,,,,,,,,,-0.038,,,,,-0.051,,,-0.036,-0.034,,
"Jun 24, 2016",,,,-0.03,,,,,,,,,,,,,,,,,,,,
"Jun 26, 2016",,,,,,-0.042,-0.036,-0.044,-0.057,-0.042,-0.046,-0.048,,,,-0.074,-0.042,,-0.058,-0.042,,,-0.054,0.05
"Jun 26, 2016",0.049,0.052,0.025,-0.04,0.024,-0.042,,-0.044,,,-0.046,,0.057,0.049,0.033,,,0.059,-0.058,,-0.036,-0.034,,
"Jun 27, 2016",,,,0.076,,,,,,,,,,,,,,,,,0.048,-0.008,,
"Jun 29, 2016",-0.016,-0.016,-0.016,-0.015,-0.016,-0.015,,-0.016,,,-0.015,,-0.015,-0.018,-0.015,,,-0.017,-0.017,-0.016,-0.016,,,-0.015
"Jun 29, 2016",-0.016,-0.016,-0.017,-0.015,,-0.015,-0.015,-0.017,-0.018,-0.016,-0.015,-0.017,-0.016,-0.017,,-0.018,-0.017,-0.017,-0.017,-0.016,-0.016,-0.018,-0.018,-0.015
"Jul 1, 2016",,,,,,,,,0.062,0.066,,0.068,,,,0.069,0.065,,,0.03,,,,0.035
"Jul 3, 2016",0.051,0.085,0.05,,0.078,-0.007,0.145,0.04,-0.02,0.113,0.011,0.072,0.102,0.024,,0.042,0.038,0.08,0.075,0.088,0.078,0.117,0.062,0.065
"Jul 3, 2016",0.051,0.085,0.05,0.135,0.078,,,0.04,,,,,0.102,0.024,0.069,,,0.081,0.075,,0.078,0.117,,
"Jul 5, 2016",,,,,,,0.004,,-0.052,-0.036,,-0.046,,,,-0.054,-0.039,,,-0.038,,,-0.065,-0.007
"Jul 5, 2016",,0.031,0.091,,0.036,-0.012,-0.008,0.012,,,0.019,,,0.022,-0.031,-0.054,,,0.008,-0.038,,,-0.065,-0.004
"Jul 6, 2016",,,,,,0.018,0.008,,,,,,,,,,,,,,-0.015,0.042,0.037,
