system:time_start,Lake_1-46-3,Abraham Lake,Greenpepper Lake,Sands of Time,Boot Lake,Canvasback Lake,YF04,Scoter Lake,YF03,YF18,YF17,YF09,Lake_1-46-2,Ninemile Lake,West Crazy Lake,YF20,YF08,YF14,Thumb Lake,Twelvemile Lake,Twin Lake,Shack Lake,YF02,Buddy Lake
"Jun 15, 2016",,,,,,,,,0.148,0.15,,0.149,,,,0.151,0.148,,,0.148,,,,0.139
"Jun 17, 2016",0.284,0.305,0.306,,0.329,0.337,0.314,0.332,0.337,0.338,0.307,0.339,0.307,0.313,,0.336,0.339,0.286,0.33,0.34,0.267,0.264,0.342,0.166
"Jun 17, 2016",0.284,0.305,0.306,0.222,0.329,,,0.332,,,,,0.307,0.313,0.313,,,0.286,0.33,,0.267,0.264,,
"Jun 19, 2016",,,,,,,-0.022,,-0.022,-0.038,,-0.033,,,,-0.019,-0.035,,,-0.015,,,-0.017,-0.026
"Jun 22, 2016",0.182,0.156,0.152,,0.131,-0.05,0.108,0.151,0.185,0.182,0.162,-0.12,0.129,0.155,0.05,0.27,0.164,0.109,0.138,-0.038,,,0.143,0.09
"Jun 24, 2016",0.331,,,0.324,,,,,,,,,0.331,,,,,0.331,,,0.335,0.339,,
"Jun 24, 2016",,,,0.324,,,,,,,,,,,,,,,,,,,,
"Jun 26, 2016",,,,,,0.353,0.332,0.359,0.35,0.353,0.318,0.352,,,,0.339,0.352,,0.344,0.354,,,0.355,0.135
"Jun 26, 2016",0.055,0.037,-0.042,0.386,-0.012,0.353,,0.359,,,0.318,,-0.003,0.046,-0.045,,,-0.077,0.344,,0.344,0.364,,
"Jun 27, 2016",,,,-0.149,,,,,,,,,,,,,,,,,-0.045,0.106,,
"Jun 29, 2016",0.135,0.134,0.136,0.136,0.13,0.134,,0.133,,,0.13,,0.132,0.137,0.129,,,0.137,0.132,0.133,0.138,,,0.131
"Jun 29, 2016",0.135,0.134,0.136,0.136,,0.135,0.136,0.134,0.137,0.137,0.13,0.137,0.134,0.136,,0.138,0.136,0.138,0.132,0.133,0.138,0.144,0.138,0.131
"Jul 1, 2016",,,,,,,,,-0.124,-0.118,,-0.137,,,,-0.121,-0.125,,,-0.001,,,,-0.018
"Jul 3, 2016",0.085,-0.041,-0.1,,-0.079,0.275,-0.24,0.099,0.299,-0.203,0.245,0.003,-0.072,0.152,,0.121,0.153,-0.004,-0.128,-0.155,-0.048,-0.127,0.004,0.112
"Jul 3, 2016",0.085,-0.043,-0.1,-0.296,-0.079,,,0.1,,,,,-0.069,0.153,-0.213,,,-0.007,-0.127,,-0.049,-0.127,,
"Jul 5, 2016",,,,,,,0.275,,0.353,0.373,,0.35,,,,0.351,0.355,,,0.353,,,0.371,0.287
"Jul 5, 2016",,-0.036,-0.063,,-0.061,0.319,0.292,-0.002,,,-0.015,,,-0.013,0.363,0.351,,,0.01,0.353,,,0.371,0.283
