system:time_start,Lake_1-46-3,Abraham Lake,Greenpepper Lake,Sands of Time,Boot Lake,Canvasback Lake,YF04,Scoter Lake,YF03,YF18,YF17,YF09,Lake_1-46-2,Ninemile Lake,West Crazy Lake,YF20,YF08,YF14,Thumb Lake,Twelvemile Lake,Twin Lake,Shack Lake,YF02,Buddy Lake
"Jun 1, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jun 3, 2016",,,,,,,-0.053,,-0.29,-0.134,,-0.21,,,,-0.136,-0.052,,,-0.113,,,-0.41,0.063
"Jun 8, 2016",,,,,,,,,,,,,,,,,,-0.147,,,,0.256,,
"Jun 10, 2016",,,,,,-0.244,-0.081,-0.092,-0.35,-0.278,-0.428,-0.154,,,,-0.428,-0.076,,-0.11,-0.109,,,-0.301,-0.016
"Jun 10, 2016",-0.285,0.007,0.1,0.558,0.199,-0.258,,-0.087,,,-0.517,,0.132,-0.308,0.438,,,-0.106,0.029,,0.083,0.14,,
"Jun 17, 2016",0.133,0.268,0.22,,0.071,-0.128,0.038,0.078,-0.277,-0.141,-0.354,-0.153,0.279,-0.086,,-0.43,0.004,0.126,-0.133,-0.051,0.393,0.405,-0.325,-0.031
"Jun 17, 2016",0.151,0.313,0.258,0.449,0.107,,,0.107,,,,,0.321,-0.074,0.341,,,0.145,-0.111,,0.424,0.432,,
"Jun 24, 2016",,,,0.237,,,,,,,,,,,,,,-0.313,,,0.051,0.149,,
"Jun 24, 2016",,,,0.268,,,,,,,,,,,,,,,,,,,,
"Jun 26, 2016",,,,,,-0.097,0.02,-0.143,-0.341,-0.126,-0.143,-0.218,,,,-0.465,-0.126,,-0.32,-0.133,,,-0.35,-0.062
"Jun 26, 2016",,,,-0.08,,-0.105,,-0.143,,,-0.141,,,,,,,,-0.308,,0.205,0.029,,
"Jul 5, 2016",,,,,,,,,-0.227,,,-0.113,,,,-0.238,-0.02,,,,,,-0.481,
"Jul 5, 2016",,,,,,,,,,,,,,,0.615,-0.227,,,,,,,-0.463,
"Jul 10, 2016",,,,,,,,,,,,,,,,,,-0.085,,,,,,
"Jul 10, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jul 12, 2016",,,,,,-0.043,0.125,-0.076,-0.356,-0.115,0.327,-0.223,,,,-0.603,-0.09,,-0.308,-0.201,,,-0.35,-0.006
"Jul 12, 2016",-0.255,-0.002,-0.103,0.097,0.064,-0.032,,-0.063,,,0.322,,-0.062,-0.375,0.181,,,-0.232,-0.246,,-0.063,0.097,,
"Jul 19, 2016",,,,,-0.172,-0.032,,,,-0.021,0.316,-0.741,,,,-0.568,,-0.194,,,,,,
"Jul 26, 2016",,,,0.115,,,,,,,,,,,,,,,,,,0.127,,
"Jul 26, 2016",,,,0.064,,,,,,,,,,,,,,,,,,,,
"Aug 6, 2016",,,,,,,,,-0.396,-0.196,,0.055,,,,-0.417,-0.376,,,-0.483,,,-0.565,-0.258
"Aug 13, 2016",,,,,,0.399,,,0.304,,,,,,,,-0.331,,0.025,-0.09,,,,0.02
"Aug 13, 2016",-0.306,-0.064,-0.166,,,0.385,,,,,,,-0.252,-0.349,0.257,,,-0.258,0.008,,0.007,,,
"Aug 27, 2016",,,,-0.054,,,,,,,,,,,,,,-0.084,,,-0.081,,,
"Aug 27, 2016",,,,-0.044,,,,,,,,,,,,,,,,,,,,
"Aug 29, 2016",,,,,,0.162,,0.006,,0.166,0.35,,,,,,,,-0.106,0.102,,,,
"Aug 29, 2016",-0.337,-0.108,0.076,0.308,0.295,0.122,,-0.001,,,0.336,,-0.39,-0.287,-0.021,,,-0.131,,,0.294,0.026,,
"Sep 5, 2016",,,,,,-0.27,-0.018,,-0.383,-0.286,,-0.278,,,,-0.407,-0.234,-0.229,,-0.382,,-0.13,-0.533,-0.255
"Sep 7, 2016",,,,,,,0.206,,-0.319,-0.382,,-0.323,,,,-0.531,-0.246,,,0.049,,,-0.306,0.135
"Sep 7, 2016",,-0.186,-0.31,,-0.145,-0.066,0.191,-0.376,,,0.565,,,-0.442,-0.137,-0.527,,,-0.225,0.044,,,-0.298,0.116
"Sep 21, 2016",,0.034,,-0.089,,,,,,,,,0.002,,0.133,,,,0.183,,0.058,,,
"Sep 30, 2016",-0.141,0.001,,0.145,-0.002,,,,,,,,-0.161,-0.032,0.158,,,-0.089,-0.267,,0.132,,,
"Oct 7, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Oct 9, 2016",,,,,,,0.003,,-0.881,-0.326,,-0.327,,,,-0.463,-0.263,,,-0.25,,,-0.472,
"Oct 9, 2016",,-0.019,-0.321,,-0.286,-0.216,-0.009,-0.26,,,,,,-0.188,,,,,-0.252,-0.23,,,-0.445,
"Oct 14, 2016",,,,-0.188,,,,,,,,,,,,,,-0.205,,,-0.207,-0.149,,
"Oct 14, 2016",,,,-0.154,,,,,,,,,,,,,,,,,,,,
