system:index,2BDA,3BDA,AreaSqKm,CI,Date,FLHV,Lake,Lake No,Longitude,NDCI,OC2,OC3,.geo
20160612T213532_20160612T230853_T06WWU_19,0.965714238,0.051282123,1.292,-0.06907952,40711,-0.065299998,YF14,18,-146.948035,-0.017441885,2.189435268,1.562841481,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.948035,66.227703]}"
20160612T213532_20160612T230853_T06WWU_17,0.933333309,0.082822117,0.593,-0.07127424,40710,-0.062499999,YF20,16,-145.774929,-0.034482772,2.070205431,1.467465719,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.774929,66.637751]}"
20160612T213532_20160612T230853_T06WWU_10,0.885057454,0.188679276,0.68,-0.0667964,40707,-0.0613,YF03,9,-145.691556,-0.060975619,2.145794377,1.500934569,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.691556,66.65232]}"
20160612T213532_20160612T230853_T06WWU_13,0.910000027,0.142105218,0.79,-0.0637882,41165.45139,-0.062300002,YF09,12,-145.7015556,-0.047120404,2.266260237,1.5548781,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.7015556,66.707]}"
20160612T213532_20160612T230853_T06WWU_22,0.901360523,0.152631614,3.413,-0.06250144,40710,-0.0606,Twelvemile Lake,21,-145.54564,-0.051878366,2.252066128,1.574380174,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.54564,66.44966]}"
20160612T213532_20160612T230853_T06WWU_21,0.879003568,0.182795689,1.17,-0.06235584,41167.39583,-0.061300001,Buddy Lake,20,-145.44285,-0.064393934,2.256147585,1.55942626,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.44285,66.43065]}"
20160612T213532_20160612T230853_T06WWU_25,0.881097536,0.225433574,1.164,-0.06621616,40711,-0.061399999,YF02,24,-145.866087,-0.06320909,2.128676442,1.490808804,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.866087,66.538895]}"
20160612T213532_20160612T230853_T06WWU_8,1.034722205,-0.027624297,0.268,-0.07476736,40707,-0.063799998,YF04,7,-146.186808,0.017064838,1.98456785,1.427469099,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.186808,66.501153]}"
20160612T213532_20160612T230853_T06WWU_7,1.076923098,-0.06454064,2.832,-0.10416332,40710,-0.0447,Canvasback Lake,6,-146.358557,0.037037047,1.384681583,1.126506024,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.358557,66.384025]}"
20160612T213532_20160612T230853_T06WWU_12,1.057603631,-0.096899132,1.746,-0.07044356,40711,-0.052100001,YF17,11,-146.267024,0.027995494,1.774145635,1.286775645,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.267024,66.320636]}"
20160612T213532_20160612T230853_T06WWU_2,0.901554382,0.131487924,0.155,-0.071324001,40707,-0.063500001,Lake_1-46-3,1,-146.774584,-0.051771129,2.058333379,1.453333366,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.774584,66.204813]}"
