system:index,Image+_Date,2BDA,3BDA,AreaSqKm,CI,Date,FLHV,Lake,Lake No,Longitude,NDCI,OC2,OC3,.geo
LC08_068013_20160603_17,6/3/16,0.698529412,0.038961039,0.593,-0.01347188,40710,0.0012,YF20,16,-145.774929,-0.177489177,0.922077922,0.922077922,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.774929,66.637751]}"
LC08_068013_20160603_10,6/3/16,0.564102564,-0.075757576,0.68,-0.01041752,40707,0.0035,YF03,9,-145.691556,-0.278688525,0.734848485,0.810606061,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.691556,66.65232]}"
LC08_068013_20160603_13,6/3/16,0.608108108,0.117021277,0.79,-0.00789866,41165.45139,7.00E-04,YF09,12,-145.7015556,-0.243697479,0.925531915,0.904255319,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.7015556,66.707]}"
LC08_068013_20160603_22,6/3/16,0.654545455,0.2,3.413,-0.0055974,40710,0.0031,Twelvemile Lake,21,-145.54564,-0.208791209,0.655555556,0.811111111,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.54564,66.44966]}"
LC08_068013_20160603_21,6/3/16,0.849056604,0.247058824,1.17,-0.00594715,41167.39583,0.0017,Buddy Lake,20,-145.44285,-0.081632653,0.8,0.870588235,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.44285,66.43065]}"
LC08_068013_20160603_25,6/3/16,0.465116279,0.052238806,1.164,-0.00783426,40711,0.0059,YF02,24,-145.866087,-0.365079365,0.559701493,0.694029851,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.866087,66.538895]}"
LC08_068013_20160603_8,6/3/16,0.892857143,0.195804196,0.268,-0.00849975,40707,0.0052,YF04,7,-146.186808,-0.056603774,0.636363636,0.783216783,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-146.186808,66.501153]}"
LC08_068013_20160603_18,6/3/16,0.774647887,0.074468085,1.627,-0.00706464,40711,0.0021,YF08,17,-145.558603,-0.126984127,0.776595745,0.829787234,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.558603,66.703426]}"
LC08_068013_20160603_11,6/3/16,0.683333333,0.307692308,1.625,-0.00731441,41165.40625,2.00E-04,YF18,10,-145.7885278,-0.188118812,0.978021978,0.967032967,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.7885278,66.7845]}"
LC08_068013_20160705_17,7/5/16,0.594594595,-0.06185567,0.593,-0.00908334,40710,0.0116,YF20,16,-145.774929,-0.254237288,0.402061856,0.510309278,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.774929,66.637751]}"
LC08_068013_20160705_10,7/5/16,0.494505495,-0.131944444,0.68,-0.00694408,40707,0.0092,YF03,9,-145.691556,-0.338235294,0.361111111,0.5,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.691556,66.65232]}"
LC08_068013_20160705_13,7/5/16,0.712643678,-0.031746032,0.79,-0.00770092,41165.45139,0.0055,YF09,12,-145.7015556,-0.167785235,0.563492063,0.658730159,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.7015556,66.707]}"
LC08_068013_20160705_25,7/5/16,0.265151515,-0.004608295,1.164,-0.01157486,40711,0.0107,YF02,24,-145.866087,-0.580838323,0.506912442,0.603686636,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.866087,66.538895]}"
LC08_068013_20160705_18,7/5/16,2.3,0.301587302,1.627,-0.00241913,40711,0.0034,YF08,17,-145.558603,0.393939394,0.46031746,0.619047619,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.558603,66.703426]}"
LC08_068013_20160806_17,7/5/16,0.419847328,0.211055276,0.593,-0.01469106,40710,0.0024,YF20,16,-145.774929,-0.408602151,0.879396985,0.869346734,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.774929,66.637751]}"
LC08_068013_20160806_10,7/5/16,0.508928571,0.273743017,0.68,-0.01388448,40707,3.00E-04,YF03,9,-145.691556,-0.325443787,0.983240223,0.899441341,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.691556,66.65232]}"
LC08_068013_20160806_13,7/5/16,0.928571429,-0.017699115,0.79,-0.01632708,41165.45139,0.0052,YF09,12,-145.7015556,-0.037037037,0.769911504,0.725663717,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.7015556,66.707]}"
LC08_068013_20160806_22,7/5/16,0.402985075,0.248730964,3.413,-0.01637823,40710,-1.00E-03,Twelvemile Lake,21,-145.54564,-0.425531915,1.050761421,0.92893401,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.54564,66.44966]}"
LC08_068013_20160806_21,7/5/16,0.617283951,0.639705882,1.17,-0.013376,41167.39583,-0.0058,Buddy Lake,20,-145.44285,-0.236641221,1.426470588,1.235294118,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.44285,66.43065]}"
LC08_068013_20160806_25,7/5/16,0.370786517,0.180722892,1.164,-0.01943159,40711,0.0018,YF02,24,-145.866087,-0.459016393,0.927710843,0.895582329,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.866087,66.538895]}"
LC08_068013_20160806_18,7/5/16,0.476190476,0.075471698,1.627,-0.01253819,40711,0.0026,YF08,17,-145.558603,-0.35483871,0.836477987,0.867924528,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.558603,66.703426]}"
LC08_068013_20160806_11,7/5/16,0.678571429,0.431818182,1.625,-0.01173188,41165.40625,-0.0025,YF18,10,-145.7885278,-0.191489362,1.189393939,1.068181818,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.7885278,66.7845]}"
LC08_068013_20160907_17,9/7/16,0.291428571,-0.267532468,0.593,-0.02487485,40710,0.0196,YF20,16,-145.774929,-0.548672566,0.490909091,0.641558442,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.774929,66.637751]}"
LC08_068013_20160907_10,9/7/16,0.480769231,0.064935065,0.68,-0.00959508,40707,0.006,YF03,9,-145.691556,-0.350649351,0.61038961,0.74025974,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.691556,66.65232]}"
LC08_068013_20160907_13,9/7/16,0.488372093,0.283950617,0.79,-0.00555847,41165.45139,0.0011,YF09,12,-145.7015556,-0.34375,0.864197531,0.814814815,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.7015556,66.707]}"
LC08_068013_20160907_22,9/7/16,0.987068966,0.003649635,3.413,-0.021267,40710,0.0056,Twelvemile Lake,21,-145.54564,-0.006507592,0.795620438,0.850364964,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.54564,66.44966]}"
LC08_068013_20160907_21,9/7/16,1.117647059,0.094170404,1.17,-0.01843922,41167.39583,0.0024,Buddy Lake,20,-145.44285,0.055555556,0.892376682,0.932735426,"{""geodesic"":true,""type"":""Point"",""coordinates"":[-145.44285,66.43065]}"
