system:time_start,Lake_1-46-3,Abraham Lake,Greenpepper Lake,Sands of Time,Boot Lake,Canvasback Lake,YF04,Scoter Lake,YF03,YF18,YF17,YF09,Lake_1-46-2,Ninemile Lake,West Crazy Lake,YF20,YF08,YF14,Thumb Lake,Twelvemile Lake,Twin Lake,Shack Lake,YF02,Buddy Lake
"Jun 1, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jun 3, 2016",,,,,,,0.002,,0.003,0.003,,0.003,,,,0.004,0.003,,,0.003,,,0.002,0.002
"Jun 8, 2016",,,,,,,,,,,,,,,,,,0.007,,,,0.004,,
"Jun 10, 2016",,,,,,0.005,0.003,0.003,0.005,0.003,0.006,0.004,,,,0.006,0.004,,0.005,0.004,,,0.003,0.004
"Jun 10, 2016",0.004,0.004,0.006,0.004,0.003,0.003,,0.004,,,0.004,,0.005,0.004,0.004,,,0.002,0.003,,0.004,0.004,,
"Jun 17, 2016",0.007,0.006,0.006,,0.004,0.005,0.004,0.005,0.004,0.005,0.009,0.004,0.005,0.006,,0.005,0.004,0.01,0.005,0.004,0.01,0.008,0.003,0.004
"Jun 17, 2016",0.007,0.006,0.006,0.015,0.003,,,0.004,,,,,0.005,0.006,0.006,,,0.009,0.005,,0.01,0.008,,
"Jun 24, 2016",,,,0.004,,,,,,,,,,,,,,0.004,,,0.004,0.004,,
"Jun 24, 2016",,,,0.004,,,,,,,,,,,,,,,,,,,,
"Jun 26, 2016",,,,,,0.006,0.006,0.006,0.005,0.006,0.01,0.006,,,,0.008,0.006,,0.006,0.006,,,0.004,0.006
"Jun 26, 2016",,,,0.009,,0.007,,0.006,,,0.01,,,,,,,,0.007,,0.003,0.007,,
"Jul 5, 2016",,,,,,,,,0.006,,,0.008,,,,0.008,0.008,,,,,,0.004,
"Jul 5, 2016",,,,,,,,,,,,,,,0.004,0.007,,,,,,,0.004,
"Jul 10, 2016",,,,,,,,,,,,,,,,,,0.004,,,,,,
"Jul 10, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jul 12, 2016",,,,,,0.005,0.009,0.005,0.006,0.005,0.019,0.007,,,,0.006,0.006,,0.007,0.005,,,0.006,0.006
"Jul 12, 2016",0.005,0.006,0.004,0.006,0.005,0.005,,0.005,,,0.019,,0.004,0.005,0.006,,,0.004,0.006,,0.005,0.006,,
"Jul 19, 2016",,,,,0.005,0.004,,,,0.002,0.024,0.001,,,,0.001,,0.004,,,,,,
"Jul 26, 2016",,,,0.005,,,,,,,,,,,,,,,,,,0.006,,
"Jul 26, 2016",,,,0.006,,,,,,,,,,,,,,,,,,,,
"Aug 6, 2016",,,,,,,,,0.003,0.005,,0.018,,,,0.003,0.004,,,0.003,,,0.003,0.004
"Aug 13, 2016",,,,,,0.006,,,0.005,,,,,,,,0.005,,0.01,0.004,,,,0.004
"Aug 13, 2016",0.002,0.005,0.003,,,0.006,,,,,,,0.002,0.006,0.003,,,0.003,0.01,,0.003,,,
"Aug 27, 2016",,,,0.005,,,,,,,,,,,,,,0.004,,,0.004,,,
"Aug 27, 2016",,,,0.005,,,,,,,,,,,,,,,,,,,,
"Aug 29, 2016",,,,,,0.025,,0.005,,0.008,0.042,,,,,,,,0.007,0.01,,,,
"Aug 29, 2016",0.004,0.004,0.008,0.012,0.013,0.021,,0.006,,,0.041,,0.002,0.006,0.003,,,0.004,,,0.002,0.006,,
"Sep 5, 2016",,,,,,0.004,0.005,,0.003,0.004,,0.004,,,,0.005,0.004,0.005,,0.004,,0.006,0.005,0.004
"Sep 7, 2016",,,,,,,0.003,,0.002,0.003,,0.003,,,,0.005,0.003,,,0.006,,,0.005,0.006
"Sep 7, 2016",,0.004,0.003,,0.003,0.003,0.003,0.003,,,0.11,,,0.004,0.002,0.005,,,0.006,0.006,,,0.005,0.006
"Sep 21, 2016",,0.003,,0.002,,,,,,,,,0,,-0.009,,,,-0.002,,0.004,,,
"Sep 30, 2016",0.003,0.005,,0.006,0.003,,,,,,,,0.003,0.003,0.004,,,0.003,0.005,,0.008,,,
"Oct 7, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Oct 9, 2016",,,,,,,0.005,,0.003,0.004,,0.003,,,,0.007,0.003,,,0.004,,,0.003,
"Oct 9, 2016",,0.008,0.004,,0.002,0.004,0.005,0.004,,,,,,0.007,,,,,0.005,0.004,,,0.003,
"Oct 14, 2016",,,,0.002,,,,,,,,,,,,,,0.003,,,0.004,0.003,,
"Oct 14, 2016",,,,0.002,,,,,,,,,,,,,,,,,,,,
