system:time_start,Lake_1-46-3,Abraham Lake,Greenpepper Lake,Sands of Time,Boot Lake,Canvasback Lake,YF04,Scoter Lake,YF03,YF18,YF17,YF09,Lake_1-46-2,Ninemile Lake,West Crazy Lake,YF20,YF08,YF14,Thumb Lake,Twelvemile Lake,Twin Lake,Shack Lake,YF02,Buddy Lake
"Jun 3, 2016",,,,,,,-0.078,,-0.284,-0.179,,-0.232,,,,-0.163,-0.101,,,-0.14,,,-0.355,-0.028
"Jun 8, 2016",,,,,,,,,,,,,,,,,,-0.132,,,,0.102,,
"Jun 10, 2016",,,,,,-0.244,-0.105,-0.111,-0.326,-0.256,-0.409,-0.15,,,,-0.414,-0.089,,-0.082,-0.114,,,-0.27,-0.035
"Jun 10, 2016",-0.448,-0.077,0.134,0.262,0.168,-0.424,,-0.237,,,-0.568,,0.171,-0.519,0.286,,,-0.306,-0.157,,0.077,0.18,,
"Jun 17, 2016",0.066,0.162,0.17,,0.055,-0.11,0.032,0.04,-0.265,-0.136,-0.349,-0.147,0.197,-0.096,,-0.423,-0.019,0.079,-0.116,-0.012,0.232,0.228,-0.295,-0.004
"Jun 17, 2016",0.077,0.195,0.202,0.346,0.084,,,0.063,,,,,0.235,-0.105,0.398,,,0.09,-0.128,,0.252,0.246,,
"Jun 24, 2016",,,,0.355,,,,,,,,,,,,,,-0.332,,,0.092,0.21,,
"Jun 24, 2016",,,,0.385,,,,,,,,,,,,,,,,,,,,
"Jun 26, 2016",,,,,,-0.085,0.007,-0.125,-0.337,-0.105,-0.145,-0.23,,,,-0.447,-0.099,,-0.312,-0.099,,,-0.351,0.005
"Jun 26, 2016",,,,-0.075,,-0.163,,-0.291,,,-0.197,,,,,,,,-0.448,,-0.779,0.194,,
"Jul 5, 2016",,,,,,,,,-0.294,,,-0.147,,,,-0.298,0.254,,,,,,-0.549,
"Jul 10, 2016",,,,,,,,,,,,,,,,,,-0.105,,,,,,
"Jul 12, 2016",,,,,,0.014,0.108,-0.027,-0.366,-0.088,0.219,-0.229,,,,-0.576,-0.056,,-0.311,-0.199,,,-0.363,0.095
"Jul 12, 2016",-0.376,0.002,-0.186,0.179,0.141,-0.056,,-0.115,,,0.19,,-0.113,-0.497,0.388,,,-0.386,-0.397,,-0.141,0.153,,
"Jul 19, 2016",,,,,-0.154,-0.073,,,,-0.008,0.159,-0.51,,,,-0.42,,-0.223,,,,,,
"Jul 26, 2016",,,,0.025,,,,,,,,,,,,,,,,,,0.226,,
"Jul 26, 2016",,,,0.039,,,,,,,,,,,,,,,,,,,,
"Aug 6, 2016",,,,,,,,,-0.364,-0.191,,0.025,,,,-0.37,-0.371,,,-0.407,,,-0.45,-0.258
"Aug 13, 2016",,,,,,,,,0.22,,,,,,,,-0.344,,0.021,-0.046,,,,0.08
"Aug 13, 2016",-0.378,-0.129,-0.245,,,0.313,,,,,,,-0.331,-0.394,0.29,,,-0.391,0.011,,-0.031,,,
"Aug 27, 2016",,,,0.226,,,,,,,,,,,,,,0.23,,,0.301,,,
"Aug 27, 2016",,,,-5.832,,,,,,,,,,,,,,,,,,,,
"Aug 29, 2016",,,,,,0.158,,0.026,,0.163,0.251,,,,,,,,-0.078,0.146,,,,
"Aug 29, 2016",-0.488,-0.2,0.003,0.186,0.165,0.147,,-0.05,,,0.189,,-0.524,-0.42,0.095,,,-0.275,,,0.312,0.057,,
"Sep 5, 2016",,,,,,-0.278,0.046,,-0.451,-0.337,,-0.319,,,,-0.471,-0.243,-0.229,,-0.458,,-0.093,-0.592,-0.287
"Sep 7, 2016",,,,,,,0.127,,-0.341,-0.447,,-0.451,,,,-0.516,-0.273,,,-0.001,,,-0.302,0.063
"Sep 7, 2016",,-0.276,-0.42,,-0.175,-0.122,0.153,-0.535,,,0.146,,,-0.519,-0.092,,,,-0.249,-0.019,,,-0.317,0.038
"Sep 21, 2016",,0.017,,-0.102,,,,,,,,,0.132,,0.112,,,,0.134,,-0.018,,,
"Sep 30, 2016",-1.102,0.574,,0.167,-0.265,,,,,,,,0.08,-0.027,0.155,,,-0.358,-0.738,,0.06,,,
"Oct 9, 2016",,,,,,,-0.073,,-0.763,-0.305,,-0.308,,,,-0.364,-0.229,,,-0.182,,,-0.399,
"Oct 9, 2016",,-0.124,-0.428,,-0.401,-0.306,,-0.34,,,,,,-0.239,-0.096,,,,-0.278,-0.34,,,-0.492,
"Oct 14, 2016",,,,1.436,,,,,,,,,,,,,,-0.142,,,-0.028,-15.373,,
"Oct 14, 2016",,,,-0.123,,,,,,,,,,,,,,,,,,,,
