system:time_start,Lake_1-46-3,Abraham Lake,Greenpepper Lake,Sands of Time,Boot Lake,Canvasback Lake,YF04,Scoter Lake,YF03,YF18,YF17,YF09,Lake_1-46-2,Ninemile Lake,West Crazy Lake,YF20,YF08,YF14,Thumb Lake,Twelvemile Lake,Twin Lake,Shack Lake,YF02,Buddy Lake
"Jun 3, 2016",,,,,,,-0.046,,-0.214,-0.097,,-0.148,,,,-0.13,-0.073,,,-0.079,,,-0.189,-0.016
"Jun 8, 2016",,,,,,,,,,,,,,,,,,-0.068,,,,0.065,,
"Jun 10, 2016",,,,,,-0.165,-0.067,-0.07,-0.257,-0.177,-0.289,-0.108,,,,-0.334,-0.063,,-0.07,-0.077,,,-0.167,-0.025
"Jun 10, 2016",-0.237,-0.029,0.109,0.107,0.138,-0.197,,-0.082,,,-0.333,,0.086,-0.239,0.307,,,-0.147,-0.086,,0.025,0.048,,
"Jun 17, 2016",0.064,0.164,0.143,,0.047,-0.086,0.03,0.031,-0.22,-0.11,-0.285,-0.123,0.2,-0.084,,-0.351,-0.016,0.084,-0.11,-0.009,0.248,0.227,-0.194,-0.003
"Jun 17, 2016",0.075,0.196,0.164,0.432,0.069,,,0.045,,,,,0.236,-0.09,0.416,,,0.097,-0.118,,0.27,0.244,,
"Jun 24, 2016",,,,0.399,,,,,,,,,,,,,,-0.282,,,0.072,0.142,,
"Jun 24, 2016",,,,0.502,,,,,,,,,,,,,,,,,,,,
"Jun 26, 2016",,,,,,-0.05,0.009,-0.067,-0.236,-0.064,-0.101,-0.159,,,,-0.296,-0.065,,-0.253,-0.057,,,-0.193,0.003
"Jun 26, 2016",,,,-0.027,,-0.055,,-0.077,,,-0.111,,,,,,,,-0.296,,0.587,0.059,,
"Jul 5, 2016",,,,,,,,,-0.191,,,-0.097,,,,-0.176,0.159,,,,,,-0.264,
"Jul 10, 2016",,,,,,,,,,,,,,,,,,-0.077,,,,,,
"Jul 12, 2016",,,,,,0.011,0.096,-0.012,-0.239,-0.056,0.282,-0.176,,,,-0.367,-0.042,,-0.279,-0.133,,,-0.246,0.069
"Jul 12, 2016",-0.173,0.001,-0.052,0.095,0.066,-0.018,,-0.039,,,0.205,,-0.046,-0.231,0.201,,,-0.156,-0.269,,-0.046,0.052,,
"Jul 19, 2016",,,,,-0.073,-0.051,,,,-0.004,0.23,-0.247,,,,-0.205,,-0.112,,,,,,
"Jul 26, 2016",,,,0.015,,,,,,,,,,,,,,,,,,0.162,,
"Jul 26, 2016",,,,0.024,,,,,,,,,,,,,,,,,,,,
"Aug 6, 2016",,,,,,,,,-0.182,-0.1,,0.062,,,,-0.186,-0.242,,,-0.205,,,-0.232,-0.113
"Aug 13, 2016",,,,,,,,,0.237,,,,,,,,-0.303,,0.021,-0.033,,,,0.078
"Aug 13, 2016",-0.165,-0.065,-0.093,,,0.366,,,,,,,-0.17,-0.193,0.227,,,-0.153,0.01,,-0.017,,,
"Aug 27, 2016",,,,0.316,,,,,,,,,,,,,,0.172,,,0.236,,,
"Aug 27, 2016",,,,-0.405,,,,,,,,,,,,,,,,,,,,
"Aug 29, 2016",,,,,,0.155,,0.023,,0.195,0.407,,,,,,,,-0.096,0.203,,,,
"Aug 29, 2016",-0.22,-0.076,0.006,0.178,0.158,0.133,,-0.031,,,0.222,,-0.232,-0.179,0.027,,,-0.084,,,0.319,0.023,,
"Sep 5, 2016",,,,,,-0.197,0.05,,-0.272,-0.246,,-0.221,,,,-0.328,-0.16,-0.117,,-0.309,,-0.044,-0.406,-0.182
"Sep 7, 2016",,,,,,,0.121,,-0.199,-0.234,,-0.191,,,,-0.371,-0.137,,,-0.001,,,-0.226,0.059
"Sep 7, 2016",,-0.107,-0.164,,-0.073,-0.075,0.145,-0.209,,,0.16,,,-0.231,-0.027,,,,-0.187,-0.016,,,-0.214,0.031
"Sep 21, 2016",,0.02,,-0.08,,,,,,,,,0.32,,0.124,,,,0.173,,-0.015,,,
"Sep 30, 2016",-0.099,0.135,,0.144,-0.179,,,,,,,,-0.128,-0.015,0.129,,,-0.012,-0.337,,0.048,,,
"Oct 9, 2016",,,,,,,-0.049,,-0.485,-0.143,,-0.156,,,,-0.24,-0.119,,,-0.101,,,-0.207,
"Oct 9, 2016",,-0.076,-0.13,,-0.136,-0.132,,-0.12,,,,,,-0.132,-0.042,,,,-0.179,-0.116,,,-0.192,
"Oct 14, 2016",,,,-0.303,,,,,,,,,,,,,,-0.161,,,-0.053,1.609,,
"Oct 14, 2016",,,,-0.076,,,,,,,,,,,,,,,,,,,,
