system:time_start,Lake_1-46-3,Abraham Lake,Greenpepper Lake,Sands of Time,Boot Lake,Canvasback Lake,YF04,Scoter Lake,YF03,YF18,YF17,YF09,Lake_1-46-2,Ninemile Lake,West Crazy Lake,YF20,YF08,YF14,Thumb Lake,Buddy Lake,Twelvemile Lake,Twin Lake,Shack Lake,YF02
"May 3, 2016",,,,,,,,,-0.44,0.112,,-0.396,,,,-0.423,-0.06,,,,,,,
"May 10, 2016",,,,,,,,,-0.497,-0.123,,-0.416,,,,,-0.45,,,,,,,
"May 10, 2016",,,,,,,,,-0.497,-0.124,,-0.416,,,,-0.468,-0.45,,,,,,,
"May 16, 2016",,,,,,,,,,,,0.14,,,,-0.091,,,,,,,,
"May 23, 2016",,,,,,,,,-0.22,,,0.081,,,,0.082,0.116,,,,,,,
"May 23, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"May 30, 2016",,,,,,,,,-0.339,-0.264,,-0.301,,,,-0.331,-0.274,,,,,,,
"Jun 5, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jun 12, 2016",,,,,,,,,-0.254,-0.228,,-0.237,,,,-0.107,-0.234,,,,,,,
"Jun 19, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jun 25, 2016",,,,,,,,,-0.256,-0.247,,-0.242,,,,-0.359,,,,,,,,
"Jul 2, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jul 9, 2016",,,,,,,,,-0.07,,,-0.12,,,,,,,,,,,,
"Jul 15, 2016",,,,,,,,,-0.004,0.015,,-0.022,,,,-0.032,0.002,,,,,,,
"Jul 15, 2016",0,-0.046,,,,0.043,0.059,-0.031,,,0.071,,,-0.122,,,,-0.05,,,,,,
"Jul 22, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jul 29, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Aug 4, 2016",,,,,,,,,0.177,,,,,,,0.208,0.213,,,,,,,
"Aug 11, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Aug 18, 2016",,,,,,,,,-0.366,,,-0.312,,,,-0.407,-0.263,,,,,,,
"Aug 18, 2016",,,,,,,,,,,,,,,0.058,,,,,,,,,
"Aug 24, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Aug 31, 2016",,,,,,,,,0.151,,,,,,,-0.066,,,,,,,,
"Sep 7, 2016",,,,,,,,,-0.339,,,-0.287,,,,-0.431,-0.249,,,,,,,
"Sep 13, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Sep 20, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Sep 27, 2016",,,,,,,,,-0.386,-0.175,,-0.106,,,,,,,,,,,,
