system:time_start,Lake_1-46-3,Abraham Lake,Greenpepper Lake,Sands of Time,Boot Lake,Canvasback Lake,YF04,Scoter Lake,YF03,YF18,YF17,YF09,Lake_1-46-2,Ninemile Lake,West Crazy Lake,YF20,YF08,YF14,Thumb Lake,Buddy Lake,Twelvemile Lake,Twin Lake,Shack Lake,YF02
"Jun 1, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jun 1, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jun 3, 2016",,,,,,,1.305,,1.554,1.075,,1.164,,,,1.297,1.302,,,1.557,1.127,,,1.936
"Jun 3, 2016",,,1.267,,1,1.054,1.956,1.269,,,1.555,,,0.94,,1.97,,,0.959,1.931,1.5,,,9.286
"Jun 8, 2016",,,,,,,,,,,,,,,,,,,,,,,1.049,
"Jun 8, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jun 10, 2016",,,,,,1.088,1.54,1.356,1.388,1.309,1.804,1.061,,,,1.438,1.09,,1.057,1.368,1.152,,,1.529
"Jun 10, 2016",1.439,0.97,0.962,0.903,1.121,1.507,,1.25,,,4.45,,0.988,1.443,1.724,,,0,9.25,,,0.932,0.755,
"Jun 17, 2016",1.663,1.254,1.242,,1.205,1.167,1.743,1.516,1.528,1.319,2.16,1.273,1.275,1.766,,1.802,1.271,1.398,1.363,1.478,1.239,1.463,1.231,1.983
"Jun 17, 2016",1.961,1.659,1.384,1.254,1.411,,,2.026,,,,,1.596,2.174,1.099,,,1.583,1.614,,,1.857,1.355,
"Jun 19, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jun 24, 2016",,,,1.188,,,,,,,,,,,,,,1.844,,,,1.271,0.963,
"Jun 24, 2016",,,,1.429,,,,,,,,,,,,,,,,,,,,
"Jun 26, 2016",,,,,,0.956,1.277,0.95,1.333,0.914,1.523,0.984,,,,1.886,0.936,,1.304,1.157,0.959,,,1.352
"Jun 26, 2016",,,,0.704,,0.964,,0.975,,,1.593,,,,,,,,1.292,,,1.241,0.731,
"Jul 3, 2016",,,,,,1.35,,,1.272,,,,,,,1.963,1.522,,,1.302,,,,1.342
"Jul 3, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jul 5, 2016",,,,,,,,,1.322,,,1.098,,,,1.46,0.814,,,,,,,1.5
"Jul 5, 2016",,,,,,,,,,,,,,,0.651,1.595,,,,,,,,1.561
"Jul 10, 2016",,,,,,,,,,,,,,,,,,1.25,,,,,,
"Jul 10, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jul 12, 2016",,,,,,0.984,1.342,1.022,1.415,0.937,1.667,1.18,,,,1.827,0.975,,1.422,1.562,1.156,,,1.459
"Jul 12, 2016",1.239,0.953,1.132,0.87,0.949,1.055,,1.093,,,1.681,,1.037,1.659,0.853,,,1.174,1.5,,,0.845,0.733,
"Jul 19, 2016",,,,,0.77,1.173,,,,0.832,2.087,1.23,,,,,,0.907,,,,,,
"Jul 19, 2016",,,,,1.188,,,,,,,,,,,,,1.741,,,,,,
"Jul 21, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jul 21, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jul 26, 2016",,,,0.818,,,,,,,,,,,,,,,,,,,0.823,
"Jul 26, 2016",,,,0.845,,,,,,,,,,,,,,,,,,,,
"Jul 28, 2016",,,,,,,,,,0.788,,1.559,,,,,,,,,,,,1.263
"Jul 28, 2016",,,,1.912,,,,,,,,,,,,,,,,,,,0.654,
"Aug 4, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Aug 6, 2016",,,,,,,,,1.138,0.911,,1.658,,,,1.317,1.192,,,1.939,1.205,,,1.408
"Aug 6, 2016",,,,,,,,,,,,,,,,1.426,,,,1.679,1.312,,,1.419
"Aug 11, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Aug 11, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Aug 13, 2016",,,,,,1.366,,,1.444,,,,,,,,1.439,,1.148,1.667,1.115,,,
"Aug 13, 2016",1.549,1.022,1.299,,,1.365,,,,,,,1.863,1.819,0.981,,,1.09,1.031,,,0.718,,
"Aug 20, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Aug 22, 2016",,,,,,,,,,,,,,,,1.329,,,,,,,,1.33
"Aug 27, 2016",,,,0.966,,,,,,,,,,,,,,0.945,,,,0.865,,
"Aug 27, 2016",,,,1.051,,,,,,,,,,,,,,,,,,,,
"Aug 29, 2016",,,,,,0.819,,1.387,,1.241,2.11,,,,,,,,1.472,,1.39,,,
"Aug 29, 2016",1.625,0.888,1.766,1.288,1.006,0.783,,1.384,,,2.099,,2.472,1.623,0.812,,,0.919,,,,0.905,0.735,
"Sep 5, 2016",,,,,,1.338,0.984,,1.287,1.248,,1.07,,,,1.408,1.136,0.791,,1.755,1.268,,0.704,1.986
"Sep 5, 2016",,,,,,,,,,,,,,,,,,0.847,,,,0.713,0.726,
"Sep 7, 2016",,,,,,,1.092,,1.162,1.039,,0.883,,,,1.691,0.87,,,2.077,1.386,,,1.85
"Sep 7, 2016",,0.825,1.289,,0.829,1.137,1.036,1.209,,,2.376,,,1.675,0.766,1.862,,,2.057,1.73,1.396,,,1.906
"Sep 14, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Sep 21, 2016",,1.197,,,,,1.048,,,,,,0,,,,1.414,,2.09,1.694,1.169,1.068,,
"Sep 21, 2016",,1.806,,1.128,,,,,,,,,0,,1.179,,,,2.006,,,1.086,,
"Sep 23, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Sep 23, 2016",,,,,,,,,,,,,,,,,,,,,,,,
