system:time_start,Lake_1-46-3,Abraham Lake,Greenpepper Lake,Sands of Time,Boot Lake,Canvasback Lake,YF04,Scoter Lake,YF03,YF18,YF17,YF09,Lake_1-46-2,Ninemile Lake,West Crazy Lake,YF20,YF08,YF14,Thumb Lake,Buddy Lake,Twelvemile Lake,Twin Lake,Shack Lake,YF02
"Jun 1, 2016",0.187,0.154,0.313,,0.098,0.257,0.207,0.24,0.064,0.465,0.083,0.295,0.136,0.103,,0.096,0.151,0.17,0.062,0.087,0.152,0.268,0.465,0.291
"Jun 1, 2016",0.183,0.15,0.306,0.24,0.095,,,0.228,,,,,0.133,0.1,0.576,,,0.168,0.061,,,0.261,0.458,
"Jun 3, 2016",,,,,,,0.005,,0.001,0.001,,0.001,,,,0.003,0.002,,,0.013,0.001,,,0
"Jun 3, 2016",,,0.001,,0.003,0.003,0.005,0.001,,,0.021,,,0.002,0.162,0.002,,,0.001,0.008,0,,,-0
"Jun 8, 2016",,,,0.216,,,,,,,,,,,,,,0.007,,,,0.004,0.004,
"Jun 8, 2016",,,,0.212,,,,,,,,,,,,,,,,,,,,
"Jun 10, 2016",,,,,,0.003,0.004,0.001,0.001,0.001,0.002,0.001,,,,0.001,0.001,,0.003,0.006,0.001,,,0.001
"Jun 10, 2016",0.002,0.002,0.02,0.003,0.011,0.002,,0.002,,,0.001,,0.002,0.002,0.02,,,0.001,0.002,,,0.002,0.002,
"Jun 17, 2016",0.012,0.007,0.009,,0.004,0.003,0.005,0.003,0.002,0.001,0.003,0.001,0.007,0.005,,0.002,0.001,0.009,0.003,0.006,0.002,0.013,0.018,0.001
"Jun 17, 2016",0.011,0.007,0.008,0.018,0.004,,,0.003,,,,,0.007,0.005,0.005,,,0.009,0.002,,,0.013,0.018,
"Jun 19, 2016",,,,,,,0.219,,0.175,0.218,,0.198,,,,0.163,0.195,,,0.19,0.158,,,0.173
"Jun 24, 2016",,,,0.003,,,,,,,,,,,,,,0.002,,,,0.002,0.002,
"Jun 24, 2016",,,,0.003,,,,,,,,,,,,,,,,,,,,
"Jun 26, 2016",,,,,,0.002,0.005,0.002,0.001,0.002,0.006,0.001,,,,0.001,0.002,,0.002,0.011,0.002,,,0.001
"Jun 26, 2016",0.095,0.113,0.25,0.004,0.277,0.002,,0.002,,,0.006,,0.151,0.118,0.242,,,0.279,0.002,,,0.001,0.002,
"Jul 3, 2016",0.074,0.158,0.416,,0.234,0.02,0.205,0.074,0.012,0.324,0.021,0.11,0.145,0.054,,0.053,0.05,0.14,0.35,0.022,0.318,0.183,0.166,0.153
"Jul 3, 2016",0.072,0.155,0.408,0.461,0.228,,,0.072,,,,,0.141,0.053,0.56,,,0.139,0.341,,,0.18,0.162,
"Jul 5, 2016",,,,,,,0.009,,0.001,0.004,,0.001,,,,0.001,0.003,,,0,0.001,,,0.001
"Jul 5, 2016",,,0.165,,0.159,0.02,0.01,0.234,,,0.235,,,0.224,0.002,0.001,,,0.113,0,0.001,,,0.001
"Jul 10, 2016",,,,0.331,,,,,,,,,,,,,,0.006,,,,0.105,0.344,
"Jul 10, 2016",,,,0.325,,,,,,,,,,,,,,,,,,,,
"Jul 12, 2016",,,,,,0.002,0.005,0.002,0.002,0.002,0.02,0.002,,,,0.001,0.002,,0.002,0.02,0.002,,,0.002
"Jul 12, 2016",0.003,0.002,0.002,0.004,0.004,0.002,,0.002,,,0.02,,0.003,0.001,0.004,,,0.002,0.002,,,0.001,0.002,
"Jul 19, 2016",0.003,0.254,0.273,,0.005,0.006,0.008,0.436,0.222,0.003,0.025,0.001,0.003,0.263,,0.002,0.448,0.002,0.008,0.262,0.005,0.044,0.397,0.394
"Jul 19, 2016",0.003,0.248,0.271,0.002,0.002,,,0.426,,,,,0.002,0.261,0.002,,,0.001,0.007,,,0.045,0.382,
"Jul 21, 2016",,,,,,,0.311,,0.327,0.085,,0.289,,,,0.308,0.138,,,0.45,0.499,,,0.262
"Jul 21, 2016",,,0.436,,0.49,0.341,0.307,0.184,,,0.185,,,0.385,0.491,0.298,,,0.277,0.461,0.48,,,0.25
"Jul 26, 2016",,,,0.003,,,,,,,,,,,,,,0.301,,,,0.304,0.002,
"Jul 26, 2016",,,,0.003,,,,,,,,,,,,,,,,,,,,
"Jul 28, 2016",,,,,,0.203,0.352,0.188,0.11,0.002,0.5,0.003,,,,0.056,0.006,,0.343,0.508,0.439,,,0.019
"Jul 28, 2016",0.025,0.353,0.365,0.059,0.251,0.194,,0.182,,,0.485,,0.044,0.35,0.203,,,0.125,0.333,,,0.303,0.002,
"Aug 4, 2016",0.482,0.455,0.467,0.286,0.405,,,0.396,,,,,0.442,0.528,0.213,,,0.436,0.518,,,0.409,0.408,
"Aug 6, 2016",,,,,,,0.334,,0.001,0.001,,0.002,,,,0.001,0.002,,,0.056,0,,,0.001
"Aug 6, 2016",,,0.436,,0.394,0.213,0.325,0.403,,,0.469,,,0.313,0.303,0.001,,,0.385,0.032,0.001,,,0.001
"Aug 11, 2016",,,,0.377,,,,,,,,,,,,,,0.426,,,,0.51,0.264,
"Aug 11, 2016",,,,0.369,,,,,,,,,,,,,,,,,,,,
"Aug 13, 2016",,,,,,0.03,0.043,0.081,0.026,0.056,0.239,0.158,,,,0.12,0.002,,0.023,0.025,0.002,,,0.253
"Aug 13, 2016",0.002,0.002,0.003,0.202,0.221,0.03,,0.079,,,0.232,,0.002,0.002,0.011,,,0.001,0.022,,,0.008,0.147,
"Aug 20, 2016",0.261,0.137,0.197,,0.196,0.164,0.208,0.264,0.192,0.244,0.192,0.11,0.183,0.172,,0.123,0.081,0.078,0.204,0.253,0.227,0.302,0.183,0.259
"Aug 22, 2016",,,0.126,,0.323,0.002,0.375,0.292,,,0.432,,,0.283,0.478,0.046,,,0.344,0.346,0.3,,,0.065
"Aug 27, 2016",,,,0.003,,,,,,,,,,,,,,0.003,,,,0.002,0.058,
"Aug 27, 2016",,,,0.003,,,,,,,,,,,,,,,,,,,,
"Aug 29, 2016",,,,,,0.031,0.062,0.008,0.082,0.014,0.02,0.064,,,,0.102,0.064,,0.008,0.093,0.012,,,0.056
"Aug 29, 2016",0.002,0.002,0.007,0.02,0.022,0.03,,0.007,,,0.019,,0.002,0.002,0.002,,,0.002,0.008,,,0.025,0.004,
"Sep 5, 2016",0.028,0.213,0.497,,0.387,0.002,0.005,0.086,0.002,0.002,0.096,0.001,0.043,0.088,,0.001,0.002,0.001,0.069,0.036,0.001,0.006,0.002,0.001
"Sep 5, 2016",0.028,0.204,0.476,0.469,0.371,,,0.083,,,,,0.041,0.085,0.452,,,0.001,0.067,,,0.006,0.002,
"Sep 7, 2016",,,,,,,0.014,,0.004,0.002,,0.002,,,,0.004,0.003,,,0.071,0.014,,,0.007
"Sep 7, 2016",,0.001,0.002,,0.004,0.005,0.015,0.001,,,0.017,,,0.001,0.002,0.004,,,0.005,0.041,0.014,,,0.007
"Sep 14, 2016",0.306,0.402,0.31,0.306,0.521,0.426,,0.432,,,0.402,,0.521,0.247,0.338,,,0.382,0.478,,,0.4,0.357,
"Sep 21, 2016",0.57,0.005,0.107,,0.249,0.155,0.01,0.251,0.088,0.266,0.123,0.094,0,0.163,,0.144,0.032,0.269,0.057,0.04,0.007,0.013,0.078,0.066
"Sep 21, 2016",0.539,0.005,0.106,0.007,0.233,,,0.232,,,,,0,0.153,0.029,,,0.256,0.054,,,0.012,0.074,
"Sep 23, 2016",,,,,,,0.239,,0.139,0.245,,0.125,,,,0.174,0.202,,,0.323,0.227,,,0.214
"Sep 23, 2016",,,0.396,,0.366,0.141,0.226,0.182,,,0.15,,,0.227,0.277,0.164,,,0.266,0.302,0.215,,,0.197
