system:time_start,Lake_1-46-3,Abraham Lake,Greenpepper Lake,Sands of Time,Boot Lake,Canvasback Lake,YF04,Scoter Lake,YF03,YF18,YF17,YF09,Lake_1-46-2,Ninemile Lake,West Crazy Lake,YF20,YF08,YF14,Thumb Lake,Buddy Lake,Twelvemile Lake,Twin Lake,Shack Lake,YF02
"Jun 1, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jun 1, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jun 3, 2016",,,,,,,0.003,,0.004,0.003,,0.003,,,,0.004,0.003,,,0.006,0.003,,,0.003
"Jun 3, 2016",,,0.001,,0.001,0.004,0.001,0.001,,,-0.001,,,0.004,,0.003,,,0.002,0.006,0.002,,,0.002
"Jun 8, 2016",,,,,,,,,,,,,,,,,,,,,,,0.004,
"Jun 8, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jun 10, 2016",,,,,,0.005,0.004,0.003,0.005,0.003,0.006,0.004,,,,0.006,0.004,,0.005,0.006,0.004,,,0.003
"Jun 10, 2016",0.004,0.004,0.007,0.004,0.003,0.003,,0.004,,,0.004,,0.006,0.004,0.004,,,0.002,0.002,,,0.004,0.004,
"Jun 17, 2016",0.007,0.006,0.006,,0.004,0.005,0.004,0.005,0.004,0.005,0.012,0.005,0.005,0.006,,0.005,0.004,0.009,0.005,0.008,0.004,0.01,0.008,0.003
"Jun 17, 2016",0.007,0.006,0.006,0.016,0.004,,,0.004,,,,,0.005,0.006,0.006,,,0.009,0.005,,,0.009,0.008,
"Jun 19, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jun 24, 2016",,,,0.003,,,,,,,,,,,,,,0.004,,,,0.004,0.003,
"Jun 24, 2016",,,,0.003,,,,,,,,,,,,,,,,,,,,
"Jun 26, 2016",,,,,,0.006,0.005,0.006,0.005,0.006,0.011,0.005,,,,0.008,0.006,,0.006,0.011,0.006,,,0.004
"Jun 26, 2016",,,,0.009,,0.007,,0.006,,,0.011,,,,,,,,0.006,,,0.004,0.008,
"Jul 3, 2016",,,,,,0.009,,,0.01,,,,,,,0.017,0.009,,,0.018,,,,0.003
"Jul 3, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jul 5, 2016",,,,,,,,,0.006,,,0.007,,,,0.008,0.008,,,,,,,0.004
"Jul 5, 2016",,,,,,,,,,,,,,,0.005,0.008,,,,,,,,0.004
"Jul 10, 2016",,,,,,,,,,,,,,,,,,0.004,,,,,,
"Jul 10, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jul 12, 2016",,,,,,0.006,0.007,0.005,0.006,0.005,0.027,0.006,,,,0.006,0.006,,0.006,0.02,0.005,,,0.006
"Jul 12, 2016",0.005,0.006,0.005,0.006,0.005,0.005,,0.005,,,0.028,,0.004,0.006,0.006,,,0.003,0.006,,,0.005,0.006,
"Jul 19, 2016",,,,,0.005,0.004,,,,0.003,0.055,0.001,,,,,,0.004,,,,,,
"Jul 19, 2016",,,,,-0.001,,,,,,,,,,,,,0.001,,,,,,
"Jul 21, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jul 21, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Jul 26, 2016",,,,0.005,,,,,,,,,,,,,,,,,,,0.006,
"Jul 26, 2016",,,,0.005,,,,,,,,,,,,,,,,,,,,
"Jul 28, 2016",,,,,,,,,,0.004,,0.01,,,,,,,,,,,,0.016
"Jul 28, 2016",,,,0.02,,,,,,,,,,,,,,,,,,,0.008,
"Aug 4, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Aug 6, 2016",,,,,,,,,0.004,0.005,,0.012,,,,0.003,0.004,,,0.052,0.003,,,0.003
"Aug 6, 2016",,,,,,,,,,,,,,,,0.003,,,,0.037,0.003,,,0.003
"Aug 11, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Aug 11, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Aug 13, 2016",,,,,,0.006,,,0.008,,,,,,,,0.005,,0.01,0.023,0.005,,,
"Aug 13, 2016",0.002,0.005,0.003,,,0.006,,,,,,,0.003,0.006,0.002,,,0.004,0.01,,,0.002,,
"Aug 20, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Aug 22, 2016",,,,,,,,,,,,,,,,0.017,,,,,,,,0.013
"Aug 27, 2016",,,,0.005,,,,,,,,,,,,,,0.004,,,,0.004,,
"Aug 27, 2016",,,,0.005,,,,,,,,,,,,,,,,,,,,
"Aug 29, 2016",,,,,,0.027,,0.005,,0.008,0.068,,,,,,,,0.007,,0.01,,,
"Aug 29, 2016",0.002,0.005,0.008,0.011,0.015,0.027,,0.005,,,0.067,,0.001,0.006,0.003,,,0.004,,,,0.004,0.006,
"Sep 5, 2016",,,,,,0.003,0.004,,0.003,0.003,,0.005,,,,0.004,0.004,0.004,,0.026,0.004,,0.006,0.006
"Sep 5, 2016",,,,,,,,,,,,,,,,,,0.004,,,,0.005,0.005,
"Sep 7, 2016",,,,,,,0.002,,0.002,0.003,,0.003,,,,0.005,0.003,,,0.037,0.005,,,0.004
"Sep 7, 2016",,0.004,0.003,,0.002,0.003,0.002,0.003,,,0.141,,,0.005,0.002,0.004,,,0.006,0.027,0.006,,,0.005
"Sep 14, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Sep 21, 2016",,0.004,,,,,0.001,,,,,,0,,,,-0.006,,-0.007,0.017,0.003,0.002,,
"Sep 21, 2016",,0.004,,0.002,,,,,,,,,0,,-0.01,,,,-0.005,,,0.003,,
"Sep 23, 2016",,,,,,,,,,,,,,,,,,,,,,,,
"Sep 23, 2016",,,,,,,,,,,,,,,,,,,,,,,,
