site,date,trip,lat,long,area,,,,,,,,,,
12mile,6/29/16,3,66.45,-145.546,3.413,,,,,,,,,,
12mile,9/16/16,4,66.45,-145.546,3.413,,,,,,,,,site,AreaSqKm
9mile,6/30/16,3,66.186,-146.661,3.331,,,,,,,,,boot_shallow,0.734
9Mile,9/17/16,4,66.186,-146.661,3.331,,,,,,,,,12mile,3.413
abraham,6/30/16,3,66.189,-146.72,,,,,,,,,,abraham,0.781
abraham,9/16/16,4,66.189,-146.72,,,,,,,,,,buddy,1.17
boot,6/28/16,3,66.071,-146.268,,,,,,,,,,yf03,0.68
boot,9/16/16,4,66.071,-146.268,,,,,,,,,,thumb,0.988
boot_shallow,6/1/16,1,66.071,-146.268,,,,,,,,,,yf20,0.593
boot_shallow,6/1/16,1,66.071,-146.268,,,,,,,,,,yf17,1.746
buddy,9/16/16,4,66.433,-145.452,,,,,,,,,,shack,0.557
canvas_bt3,5/29/16,1,66.385,-146.36,,,,,,,,,,9Mile,3.331
canvas_bt3,6/27/16,3,66.385,-146.36,,,,,,,,,,greenpepper(yf15),0.967
canvas_bt3,9/13/16,4,66.385,-146.36,,,,,,,,,,yf08,1.627
canvas_bt5,5/29/16,1,66.385,-146.36,,,,,,,,,,twin,4.229
canvas_bt5,9/13/16,4,66.385,-146.36,,,,,,,,,,yf14,1.292
canvas_bt6,5/29/16,1,66.385,-146.36,,,,,,,,,,yf04,0.268
canvas_bt7,6/27/16,3,66.385,-146.36,,,,,,,,,,sandsoftime,0.747
canvas_bt7,9/13/16,4,66.385,-146.36,,,,,,,,,,westcrazy,0.501
canvas_raft,6/26/16,3,66.385,-146.36,,,,,,,,,,yf02,1.164
canvas_raft,9/13/16,4,66.385,-146.36,,,,,,,,,,canvas_bt6,2.832
greenpepper,9/16/16,4,66.088,-146.733,,,,,,,,,,scoter(yf16),4.555
greenpepper(yf15),6/28/16,3,66.088,-146.733,,,,,,,,,,,
sandsoftime,6/30/16,3,66.034,-147.544,,,,,,,,,,,
sandsoftime,9/15/16,4,66.034,-147.544,,,,,,,,,,,
scoter,9/17/16,4,66.24,-146.394,,,,,,,,,,,
scoter(yf16),6/30/16,3,66.24,-146.394,,,,,,,,,,,
shack,6/30/16,3,66.294,-148.114,,,,,,,,,,,
shack,9/15/16,4,66.294,-148.114,,,,,,,,,,,
thumb,6/30/16,3,66.175,-146.144,,,,,,,,,,,
thumb,9/16/16,4,66.175,-146.144,,,,,,,,,,,
twin,6/30/16,3,66.186,-147.493,,,,,,,,,,,
twin,9/15/16,4,66.186,-147.493,,,,,,,,,,,
westcrazy,6/28/16,3,65.929,-146.596,,,,,,,,,,,
westcrz,9/16/16,4,65.929,-146.596,,,,,,,,,,,
yf02,6/29/16,3,66.539,-145.866,,,,,,,,,,,
yf02,9/14/16,4,66.539,-145.866,,,,,,,,,,,
yf03,6/29/16,3,66.652,-145.692,,,,,,,,,,,
yf03,9/14/16,4,66.652,-145.692,,,,,,,,,,,
yf04,6/14/15,0,66.501153,-146.186808,,,,,,,,,,,
yf08,6/29/16,3,66.703,-145.559,,,,,,,,,,,
yf08,9/14/16,4,66.703,-145.559,,,,,,,,,,,
yf09,6/29/16,3,66.707,-145.702,,,,,,,,,,,
yf09,9/14/16,4,66.707,-145.702,,,,,,,,,,,
yf14,6/30/16,3,66.228,-146.948,,,,,,,,,,,
yf14,9/17/16,4,66.228,-146.948,,,,,,,,,,,
yf15,6/14/15,0,,,,,,,,,,,,,
yf17,6/29/16,3,66.321,-146.267,,,,,,,,,,,
yf17,9/17/16,4,66.321,-146.267,,,,,,,,,,,
yf18,6/29/16,3,66.785,-145.789,,,,,,,,,,,
yf18,9/14/16,4,66.785,-145.789,,,,,,,,,,,
yf20,6/29/16,3,66.638,-145.775,,,,,,,,,,,
yf20,9/14/16,4,66.638,-145.775,,,,,,,,,,,
