,Lake,NDCI Chla Index,RGB Chla Index
0,Abraham Lake,-0.014777778,0.043
1,Boot Lake,0.269111111,0.125444444
2,Buddy Lake,-0.300357143,0.447571429
3,Canvasback Lake,0.091875,-0.00725
4,Greenpepper Lake,0.2275,0.02725
5,Lake_1-46-2,-0.059375,-0.016125
6,Lake_1-46-3,-0.172333333,-0.167333333
7,Ninemile Lake,-0.09,-0.2555
8,Sands of Time,0.198384615,0.165230769
9,Scoter Lake,0.1485,-0.05325
10,Shack Lake,0.488833333,0.097916667
11,Thumb Lake,-0.256066667,-0.110733333
12,Twelvemile Lake,0.040571429,-0.148857143
13,Twin Lake,0.145333333,0.123916667
14,West Crazy Lake,0.350375,0.224
15,YF02,-0.1753125,-0.293
16,YF03,-0.094090909,-0.211454545
17,YF04,0.0688,0.0343
18,YF08,0.041083333,-0.072166667
19,YF09,0.040727273,-0.229727273
20,YF14,-0.002,-0.151769231
21,YF17,-0.254916667,0.183916667
22,YF18,0.207454545,-0.141181818
23,YF20,-0.2472,-0.278066667
